Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," Temperature Sensor [TMP36]"
"PIEZO1",1," Piezo"
"D1",1,"Red LED"
"R1, R2",2,"1 kΩ Resistor"
"GAS1",1," Gas Sensor"
